date,close,MA10,MACD,ROC,Momentum,RSI,Bollinger_Up,Bollinger_Down,CCI
2000-01-03 00:00:00,,,0.0,,,,,,
2000-01-03 04:00:00,-0.0018,,-0.00014,,,0.0,,,
2000-01-03 08:00:00,-0.0042,,-0.00059,-0.58968,,0.0,,,
2000-01-03 12:00:00,-0.0042,,-0.00127,-0.82702,,0.0,,,
2000-01-03 16:00:00,0.0145,,-0.00063,1.01829,0.0043,63.05938,,,
2000-01-03 20:00:00,0.0028,,0.00011,1.71746,0.0089,67.46179,,,
2000-01-04 00:00:00,-0.0005,,0.00064,0.22509,0.0126,65.90345,,,
2000-01-04 04:00:00,0.0,,0.00105,-0.0488,0.0168,65.90345,,,
2000-01-04 08:00:00,0.0035,,0.00164,0.34176,0.0058,71.57737,,,
2000-01-04 12:00:00,0.005,1.02068,0.00248,0.83,0.008,77.51622,,,
2000-01-04 16:00:00,-0.0045,1.02174,0.00275,0.04866,0.004,64.11875,,,
2000-01-04 20:00:00,0.0011,1.02309,0.00302,-0.32927,0.0051,65.72759,,,
2000-01-05 00:00:00,0.0,1.02486,0.0032,0.10699,0.0016,65.72759,,,
2000-01-05 04:00:00,0.0025,1.0273,0.0035,0.24291,-0.0009,69.55749,,,
2000-01-05 08:00:00,0.0053,1.02882,0.00412,0.75787,0.0089,75.90107,,,
2000-01-05 12:00:00,0.0001,1.03007,0.00456,0.52341,0.0079,76.00589,,,
2000-01-05 16:00:00,-0.0041,1.03096,0.00453,-0.38573,0.0038,63.43629,,,
2000-01-05 20:00:00,-0.0004,1.03181,0.00443,-0.4339,0.0009,62.31909,,,
2000-01-06 00:00:00,-0.0008,1.03223,0.00423,-0.11617,-0.0052,59.97202,,,
2000-01-06 04:00:00,0.0046,1.03261,0.00439,0.368,-0.0007,67.7355,1.0494,1.01582,0.45149
2000-01-06 08:00:00,-0.0012,1.03332,0.00437,0.32952,0.0022,64.13024,1.04994,1.0167,0.22618
2000-01-06 12:00:00,0.0014,1.03406,0.00442,0.0193,0.004,66.44538,1.05017,1.01795,0.31528
2000-01-06 16:00:00,-0.0067,1.03413,0.00388,-0.51198,-0.0019,49.46781,1.0481,1.02016,-0.60575
2000-01-06 20:00:00,0.0031,1.03426,0.00365,-0.34729,-0.0034,55.33491,1.04359,1.02493,-0.27021
2000-01-07 00:00:00,-0.0026,1.0336,0.00322,0.04855,-0.0048,49.93227,1.04192,1.02528,-0.76908
2000-01-07 04:00:00,-0.0011,1.03282,0.00277,-0.35818,-0.0073,47.74111,1.0406,1.02504,-0.90444
2000-01-07 08:00:00,0.0013,1.03258,0.00248,0.01941,0.0007,50.58839,1.03958,1.02558,-0.56609
