date,value
2003-01-31,0
2003-04-30,0.0006000000000000009
2003-07-31,0.0008100000000000015
2003-10-31,0.001010000000000002
2004-01-31,0.0009000000000000017
2004-04-30,0.0009000000000000017
2004-07-31,0.001000000000000002
2004-10-31,0.0009000000000000017
2005-01-31,0.0007000000000000012
2005-04-30,0.001000000000000002
2005-07-31,0.0008100000000000015
2005-10-31,0.0007000000000000012
2006-01-31,0.0007100000000000012
2006-04-30,0.000610000000000001
2006-07-31,0.000610000000000001
2006-10-31,0.0007100000000000012
2007-01-31,0.0006000000000000009
2007-04-30,0.0006000000000000009
2007-07-31,0.0005000000000000007
2007-10-31,0.0005100000000000007
2008-01-31,0.0006000000000000009
2008-04-30,0.001010000000000002
2008-07-31,0.0012000000000000025
2008-10-31,0.0011100000000000023
2009-01-31,0.0019100000000000044
2009-04-30,0.0021000000000000046
2009-07-31,0.0019100000000000044
2009-10-31,0.0015300000000000034
2010-01-31,0.0009000000000000017
2010-04-30,0.0011700000000000024
2010-07-31,0.0012200000000000025
2010-10-31,0.001410000000000003
2011-01-31,0.0011300000000000023
2011-04-30,0.0012300000000000026
2011-07-31,0.001000000000000002
2011-10-31,0.0015800000000000035
2012-01-31,0.0016400000000000037
2012-04-30,0.0009700000000000019
2012-07-31,0.0007900000000000014
2012-10-31,0.0008300000000000015
2013-01-31,0.0007900000000000014
2013-04-30,0.0007100000000000012
2013-07-31,0.0008000000000000014
2013-10-31,0.0008000000000000014
2014-01-31,0.000630000000000001
2014-04-30,0.0005900000000000009
2014-07-31,0.00038000000000000035
2014-10-31,0.0003300000000000002
2015-01-31,0.0004800000000000006
2015-04-30,0.0008100000000000015
2015-07-31,0.0009200000000000018
2015-10-31,0.0011800000000000024
2016-01-31,0.0009000000000000017
2016-04-30,0.0007100000000000012
2016-07-31,0.0008000000000000014
2016-10-31,0.0007100000000000012
2017-01-31,0.0005900000000000009
2017-04-30,0.0007800000000000014
2017-07-31,0.0006000000000000009
2017-10-31,0.0005900000000000009
2018-01-31,0.0005900000000000009
2018-04-30,0.000610000000000001
2018-07-31,0.0007100000000000012
2018-10-31,0.0006900000000000012
2019-01-31,0.0007200000000000012
2019-04-30,0.000630000000000001
2019-07-31,0.00045000000000000053
2019-10-31,0.00039000000000000037
2020-01-31,0.00042000000000000045
2020-04-30,0.0003200000000000002
2020-07-31,0.0007600000000000013
2020-10-31,0.0007100000000000012
2021-01-31,0.000640000000000001
2021-04-30,0.0006800000000000011
2021-07-31,0.000610000000000001
2021-10-31,0.0004700000000000006
2022-01-31,0.0004700000000000006
2022-04-30,0.0006000000000000009
2022-07-31,0.0007600000000000013
2022-10-31,0.0009100000000000017
2023-01-31,0.0009100000000000017
2023-04-30,0.0007600000000000013
2023-07-31,0.0006900000000000012
2023-10-31,0.0005600000000000008
